code,title,description,span,lithology
Jwf,"Warm Spring Canyon Formation, flow-banded meta-andesites","This unit is composed of flow-banded hornfels-facies meta-andesites, with two levels of flow breccias (Cole, 1986). This is 182 m thick.",Jurassic,
Jwp,"Warm Spring Canyon Formation, porphyritic meta-andesite","Massive meta-andesite, locally banded and also brecciated (Cole, 1986). Plagioclase phenocrysts are conspicuous throughout these exposures. This unit is locally sheared along its northernmost exposures in Warm Spring Canyon, and it is locally in fault contact with Permian rock units. There is a small lenticular carbonate body in one of the northern exposures, which is nonconformable to the flows. The thickness is at least 788 m, but the upper contact is not exposed.",Jurassic,
Jwq,Warm Spring Canyon Formation,"Defined by Johnson (1957) and modified by Wrucke (1966). It is intruded by slightly younger Manly Peak Quartz Monzonite and cut by a dike associated with Late Jurassic Independence dike swarm (Andrew, 2002). Andrew (2002) inferred this formation to be the co-magmatic volcanic rocks to the Independence dike swarm.",Jurassic,
Jwt,"Warm Spring Canyon Formation, metaignimbrite tuff","This rock contains light-gray angular to lens-shaped fragments that are similar to flattened lapilli. This is up to 30 m thick in Warm Spring Canyon and is missing in the southwestern exposures. A sample of this was dated by Andrew (2002) with an interpreted age of 148 Ma. The same sample analyzed using modern techniques yielded CA-TIMS zircon 206Pb(Th-corrected)/238U age of 151.88 ± 0.15 Ma (Andrew, 2019).",Jurassic,
Kh,Hall Canyon granite,"Medium-grained leucocratic granite consisting of sodic plagioclase, quartz, microcline, and muscovite; locally, a minor amount of biotite and a trace of garnet are observed (Labotka et al., 1980). The main part of the intrusion occurs in western Hall and Jail Canyons, just north of the map area, but there are smaller exposures in Surprise Canyon. The crystallization age is interpreted to be 72.7 ± 0.6 Ma from Rb/Sr isochron analysis (Mahood et al., 1996). Local strong foliation fabrics occur in this granite, related folds indicate top-west shear under ductile conditions.",Cretaceous,
Kmp,Manly Peak quartz monozite,"Medium-grained, massive quartz monzonite with large phenocrysts of pink microcline and roughly equal amounts of biotite and hornblende mafic accessory minerals (Johnson, 1957). A sample of this unit has a CA-TIMS zircon 206 Pb(Th-corrected)/238U age of 151.210 ± 0.074 Ma (Andrew, 2019). Previous studies determined earliest Cretaceous ages of 142–145 Ma: recalculated K-Ar (Armstrong and Suppe, 1973); hornblende K-Ar (Wrucke et al., 2008); and U-Pb zircon TIMS (McKenna et al., 1993; Andrew, 2002).",Jurassic,
Kpc,granodoritic gneiss of Pleasant Canyon,Medium-grained granodiorite dikes and small stocks that intrude the Proterozoic strata in eastern Anvil Spring Canyon. These may be related to the Manly Peak Quartz Monzonite.,Cretaceous,
Kr,granite of Redlands Canyon,"Garnet-bearing leucocratic alkali granite, that resembles the Late Cretaceous Hall Canyon and Skidoo Granites also occur along the western flank of the Panamint Range. This rock contains several percent of a fine-sized garnet phenocrysts. TIMS zircon U-Pb age of ~91.8 Ma (Andrew, 2002).",Cretaceous,
Ksp,South Park Canyon granodiorite,"A porphyritic to medium-grained granodiorite. The eastern edge is locally deformed by top-east reverse faults with local augen gneissic textures. Several dextral strike-slip, ductile shear zones deform this pluton. The TIMS U-Pb zircon age of this unit is 107 ± 1 Ma (Cichanski, 1995).",Cretaceous,
Mi,Indian Springs Formation,"Predominantly brown-weathering siltstone and shale with minor crinoidal limestone. The thickness is 6 m in Warm Spring Canyon (Wrucke et al., 2008).",Mississippian,
Msc,Stone Canyon Formation,"Thinly interbedded dark-gray, cherty limestone, chert and silicified micrite. Distinguished by the brownish color of weathered outcrops and the fine alternation of these different rock types (Stevens et al., 1996). In Warm Spring Canyon this formation is 75 m thick (Wrucke et al., 2008).",Mississippian,
Msr,Santa Rosa Formation,"Massive, light-gray, echinodermal limestone with minor amounts of chert (Stone et al., 1989). Thickness in Warm Spring Canyon is ~200 m (Wrucke et al., 2008).",Mississippian,
Mt,Tin Mountain Limestone,"Medium to dark-gray, thin to medium bedded, fine-grained limestone containing gray to black chert lenses and nodules (Stone et al., 1989). The thickness in Warm Spring Canyon is ~40 m thick (Wrucke et al., 2008).",Mississippian,
Nmc,older conglomerate,"The oldest conglomerate found along the western flank of the Panamint Range is strongly deformed and tilted and is in fault contact with an underlying low-angle fault gouge zone. Strong calcite and silica cementation is notable in this unit. The strongly cemented and deformed conglomerates have tilts similar to those of Miocene volcanic and sedimentary rocks in the Argus and Slate Ranges and for units in the Nova Formation in the northern Panamint Range (Hodges et al., 1990; Snyder and Hodges, 2000). The clast types are predominantly the same as the local bedrock, mostly quartz feldspar gneiss and diabase.",Miocene,
Nmg,Emigrant gouge,"Areas of gouge developed on the Emigrant fault, which bounds the footwall rocks of the Panamint Range (Andrew and Walker, 2009). This fault dips gently westward and has top-to-the-west northwest movement. This gouge is up to 0.6 m thick and contains S-C fabrics, extensional shear bands, sigma clasts, and strong oxidation. Synthetic and antithetic faults in the hanging wall terminate into the gouge. The gouge is observed to shear and incorporate the older, well-cemented conglomerate unit, but not the younger conglomerate.",Miocene,
