code,title,description,span,lithology
Zjm,"Johnnie Formation, middle member",Informal member of thin-bedded dolomitic marbles with reddish weathering. This is the upper part of the lower memebr of Labotka et al. (1980). About 45 m thick. Zjl,Cryogenian to Ediacara,
Zju,"Johnnie Formation, upper member","Thinly laminated micaceous green argillite with rare sandy dolomite and limestone layers changing upward into gray argillite and gray-green silty limestone. Quartzite beds increase near the top. This member is 400–650 m thick (Labotka et al., 1980).",Cryogenian to Ediacara,
Zk,Kingston Peak Formation,,Cryogenian,sedimentary rock
Zkla,"Kingston Peak Formation, Limekiln Spring Member, argillitic submember","Dark colored fine-grained meta-greywacke with lesser amounts of amphibolitic schist, and pelitic schist, and dolomite. Conglomerate, breccia and olistostromes layers are unevenly distributed within this unit in western exposures or Surprise and Happy Canyons, but not east of the main anticline of basement-Crystal Spring Formation and Beck Spring Dolomite. Dolomite-clast breccia layers are unevenly distributed within this unit. Granite-clast conglomerate occurs in great abundance in the region between Happy and Surprise Canyons with some clasts of granitic rock are several meters across.",Cryogenian,
Zklaa,"Kingston Peak Formation, Limekiln Spring Member, argillitic submember","[Ed. not described on the map, assuming the same as Zkla] Dark colored fine-grained meta-greywacke with lesser amounts of amphibolitic schist, and pelitic schist, and dolomite. Conglomerate, breccia and olistostromes layers are unevenly distributed within this unit in western exposures or Surprise and Happy Canyons, but not east of the main anticline of basement-Crystal Spring Formation and Beck Spring Dolomite. Dolomite-clast breccia layers are unevenly distributed within this unit. Granite-clast conglomerate occurs in great abundance in the region between Happy and Surprise Canyons with some clasts of granitic rock are several meters across.",Cryogenian,
Zkll,"Kingston Peak Formation, Limekiln Spring Member","Heterogenous package of rocks, 50–500 m thick dominated by fine-grained metagraywacke, pelitic schist, and amphibolitic schist. Conglomeratic layers are locally abundant and contain clasts of Proterozoic basement or Beck Spring Dolomite. Several large olistostromes of Beck Spring Dolomite are exposed in this member in a syncline in Surprise Canyon.",Cryogenian,
Zklq,"Kingston Peak Formation, Limekiln Spring Member, quartzite submember","140 m of light tan bedded quartzite and calcareous quartzite. Beds range from thin- to medium-bedded (Labotka et al., 1980).",Cryogenian,
Zklx,"Kingston Peak Formation, Limekiln Spring Member, breccia submember","Conglomerate and breccia of clasts and cobbles of underlying basement gneiss, Crystal Spring Formation and Beck Spring Dolomite. The boundary between this and several of the olistostromes along the Happy-Surprise divide is difficult to determine.",Cryogenian,
Zkmg,"Kingston Peak Formation, Mountain Girl Member","Clast-supported arkosic sandstone with numerous white quartzose pebble to cobble sized clasts and minor limestone clasts. The lower part is dark-reddish to black weathering and more pebbly; the upper part is white weathering, less pebbly and more sandy. Most clasts are <10 cm in diameter. Promoted to member status from submember by Petterson et al. (2011). Locally in the cores of folds along the western Panamint Range, this unit is strongly deformed into stretched pebble conglomerate with 10:2:1 triaxial ellipsoid pebbles.",Cryogenian,
Zkmp,"Kingston Peak Formation, Middle Park Member","This unit in the southern Panamint Range is a pervasively laminated schistose siltstone and sandstone. Farther to the north Petterson et al. (2011) describe a lower portion containing a few Sourdough Member-like limestones and a middle portion containing graywackes with medium to coarse-grained, predominantly quartz pebbles. Promoted to member status by Petterson et al. (2011).",Cryogenian,
Zko,"Kingston Peak Formation, olistostrome","Local zones within many of the fine clastic units of the Kingston Peak Formation that are matrix-supported breccias of boulder to very large blocks of older rock units. Theses clasts are dominantly of the Crystal Spring Formation in Redlands Canyon but are mostly Beck Spring Dolomite farther north in Warm Spring, Happy, and Surprise Canyons. The matrix is typically fine-grained, dark gray-green to brown and is locally finely recrystallized due to thermal metamorphism from nearby plutonic rocks. These deposits probably represent rock avalanche deposits caused by syn-depositional normal faulting (Prave, 1999). Olistostromes large enough to map occur in the Limekiln Spring, Surprise, and Middle Park Members. Large olistostromes >280 m long occur in the Warm Spring Canyon area that were previously interpreted to be horses along thrust faults (Wrucke et al., 2008). Olistostromes in the Limekiln Spring Member are spectacularly exposed along the ridge between Happy and Surprise Canyons, where the exposed olistostromes appear to peel off from the depositional source outcrops of the Beck Spring Dolomite and become clasts in fine -grained argillite matrix.",Cryogenian,
Zks,"Kingston Peak Formation, Surprise Member","Thick section (250–1000 m) of clastic rocks, massive to unbedded trimodal to unsorted pebbly mudstone and diamictite. The clasts are generally smaller than 10 cm in diameter, but clasts of several meters occur locally. Clast rock types include: quartzo-feldspathic gneiss, quartzite, dolomite, argillite, and diabase. Graded argillite beds with exotic cobbles also occur in the member. A basalt layer occurs near the middle of this member (Johnson, 1957; Albee et al., 1981).",Cryogenian,
Zksb,"Kingston Peak Formation, basalt flow layer within the Surprise Member","Typically exposed as a massive, fine-grained, dark gray to black colored meta-volcanic rock. Where well-exposed farther north in South Park, Pleasant, and Happy Canyons there are abundant well-preserved pillow structures, basal flow breccia, hyaloclastic textures and white amygdules. A spectacular exposure of deformed pillows occurs south of the mouth of Happy Canyon, where pillows become 10:2:1 triaxial ellipsoids.",Cryogenian,
Zksd,"Kingston Peak Formation, Sourdough Limestone","Thin, variable thickness (5–30 m) thinly laminated light- and dark-gray micaceous limestone (Johnson, 1957; Albee, et al., 1981). Thickness varies due to imbrications and stratigraphic omission from Mesozoic and Neogene contractional and extensional deformation. A well-exposed section in Big Horn Canyon has three complete thrust duplications of this member along with the overlying Middle Park Member. 36°07’30” N",Cryogenian,
Zksp,"Kingston Peak Formation, South Park Member",,Cryogenian,sedimentary rock
Zkt,"Kingston Peak Formation, Thorndike Member","Buff to tan-colored limestone, with strong variability, formally defined by Petterson et al. (2011). Dominantly well-laminated limestone with siliceous irregular beds or argillite. There are also local, thick massive light-colored limestone beds and lenses. The unit varies in thickness from a meter to several meters thick. Many of these exposures were previously mapped by other workers as out of place Sourdough Limestone Member.",Cryogenian,
Zkw,"Kingston Peak Formation, Wildrose Diamictite","Diamictite of very dark brownweathering fine-grained matrix with abundant clasts of limestone, quartzite, granitic, and gneiss. This unit is only locally present but occurs throughout the Panamint Range. Generally, there are more abundant basement gneiss and quartzite clasts, but certain areas contain numerous clasts of massive bluish gray dolomite correlated to the Beck Spring Dolomite. Clast size is usually pebble to cobble sized but boulder clasts up to 3 m do occur locally (Miller, 1987). Promoted to member status by Petterson et al. (2011).",Cryogenian,
Zn,Noonday Dolomite,"Dominantly dolomite and dolomitic limestone, extensively metamorphosed adjacent to the Manly Peak quartz monzonite. Exposures on the western range flank are locally strongly brecciated and displaced down slope by extensional faulting or mass wasting. These rocks weather to a distinctive light-yellow color visible from a distance. Age interpreted from Macdonald et al. (2013).",Cryogenian,
znbx,Noonday Dolomite,"Dominantly dolomite and dolomitic limestone, extensively metamorphosed adjacent to the Manly Peak quartz monzonite. Exposures on the western range flank are locally strongly brecciated and displaced down slope by extensional faulting or mass wasting. These rocks weather to a distinctive light-yellow color visible from a distance. Age interpreted from Macdonald et al. (2013).",Cryogenian,
Znm,"Noonday Dolomite, Mahagony Flat Member",125–150 m of thick-bedded to massive light-gray dolomite with minor thin argillite beds near the top. This unit was originally mapped in the map area as the Redlands Member by Johnson (1957) but renamed and redefined by Petterson et al. (2011).,Cryogenian,
Znr,"Noonday Dolomite, Radclif Member","100–250 m of thin-bedded gray, pink, green, or brown limestone interbedded with thin laminae of gray-green argillaceous limestones and argillites. Lower part consists almost entirely of argillite but includes lenses of conglomerate containing clasts of argillite and dolomite in argillaceous dolomite matrix (Albee et al., 1981).",Cryogenian,
Zns,"Noonday Dolomite, Sentinel Peak Member","Variable thickness (3–150 m) due to faulting, light-gray massive dolomite containing thinly laminated siliceous limestone in lower part. Thin laminae and tubular structures are common (Albee et al., 1981). The tube structures are oriented normal to the bedding and are composed of coarser grained calcite. Zk KINGSTON PEAK FORMATION (Cryogenian)",Cryogenian,
Zs,Stirling Quartzite,"Brown-weathering quartzite at top, underlain by interbedded purple shale and quartzite and at the base it is well-bedded and cross-bedded partly conglomeratic quartzite (Hunt and Mabey, 1966).",Ediacaran,
